city,district,daily_temp
Кемерово,Сибирский ФО,-5.0
Чебоксары,Приволжский ФО,3.5
Хабаровск,Дальневосточный ФО,-5.9
Чебоксары,Приволжский ФО,1.0
Иваново,Центральный  ФО,-2.8
Владимир,Центральный  ФО,-1.4
Ростов,Южный ФО,2.2
Воронеж,Центральный  ФО,13.6
Пенза,Приволжский ФО,5.7
Казань,Приволжский ФО,6.0
Казань,Приволжский ФО,-0.2
Чебоксары,Приволжский ФО,1.5
Нальчик,Северо-Кавказский ФО,-0.5
Магадан,Дальневосточный ФО,-20.5
Пенза,Приволжский ФО,-1.2
Ижевск,Приволжский ФО,1.1
Киров,Приволжский ФО,2.0
Улан-Удэ,Сибирский ФО,-1.0
Иваново,Центральный  ФО,-1.0
Пермь,Приволжский ФО,-3.4
Астрахань,Южный ФО,6.0
Ростов,Южный ФО,4.0
Тверь,Центральный  ФО,6.0
Рязань,Центральный  ФО,0.5
Калуга,Центральный  ФО,1.0
Томск,Сибирский ФО,-13.8
Екатеринбург,Уральский ФО,0.7
Кострома,Центральный  ФО,-1.9
Кызыл,Сибирский ФО,-4.8
Архангельск,Северо-Западный ФО,-1.0
Иркутск,Сибирский ФО,-6.2
Владивосток,Дальневосточный ФО,-4.2
Благовещенск,Дальневосточный ФО,-0.8
Кызыл,Сибирский ФО,-2.6
Тверь,Центральный  ФО,-2.2
Казань,Приволжский ФО,2.5
Йошкар-Ола,Приволжский ФО,6.0
Тверь,Центральный  ФО,3.9
Благовещенск,Дальневосточный ФО,-9.8
Пермь,Приволжский ФО,1.6
Анадырь,Дальневосточный ФО,-16.0
Уфа,Приволжский ФО,2.1
Москва,Центральный  ФО,6.7
Сыктывкар,Северо-Западный ФО,1.0
Архангельск,Северо-Западный ФО,-5.8
Вологда,Северо-Западный ФО,0.1
Курган,Уральский ФО,2.1
Саранск,Приволжский ФО,6.4
Калуга,Центральный  ФО,5.5
Владимир,Центральный  ФО,8.0
Магадан,Дальневосточный ФО,-16.8
Абакан,Сибирский ФО,-8.0
Анадырь,Дальневосточный ФО,-9.9
Петропавловск-Камчатский,Дальневосточный ФО,-0.5
Ижевск,Приволжский ФО,-1.1
Тула,Центральный  ФО,-3.1
Екатеринбург,Уральский ФО,0.5
Сыктывкар,Северо-Западный ФО,4.0
Курск,Центральный  ФО,-0.4
Калуга,Центральный  ФО,5.5
Пермь,Приволжский ФО,-2.9
Благовещенск,Дальневосточный ФО,-3.9
Благовещенск,Дальневосточный ФО,-0.9
Липецк,Центральный  ФО,-2.8
Рязань,Центральный  ФО,8.6
Тверь,Центральный  ФО,-1.9
Чита,Сибирский ФО,-1.6
Волгоград,Южный ФО,6.0
Чита,Сибирский ФО,-12.8
Челябинск,Уральский ФО,1.6
Тюмень,Уральский ФО,0.6
Анадырь,Дальневосточный ФО,-6.7
Брянск,Центральный  ФО,9.7
Смоленск,Центральный  ФО,1.3
Чита,Сибирский ФО,-3.1
Майкоп,Южный ФО,15.6
Магадан,Дальневосточный ФО,-9.0
Мурманск,Северо-Западный ФО,-7.0
Вологда,Северо-Западный ФО,0.3
Пермь,Приволжский ФО,-6.2
Махачкала,Северо-Кавказский ФО,3.3
Элиста,Южный ФО,9.0
Псков,Северо-Западный ФО,5.1
Магадан,Дальневосточный ФО,-11.5
Псков,Северо-Западный ФО,0.5
Псков,Северо-Западный ФО,1.6
Астрахань,Южный ФО,9.5
Вологда,Северо-Западный ФО,-3.9
Астрахань,Южный ФО,5.0
Элиста,Южный ФО,11.0
Оренбург,Приволжский ФО,4.5
Улан-Удэ,Сибирский ФО,-10.4
Пермь,Приволжский ФО,-1.8
Тюмень,Уральский ФО,-8.2
Майкоп,Южный ФО,11.7
Оренбург,Приволжский ФО,-9.4
Йошкар-Ола,Приволжский ФО,2.0
Магадан,Дальневосточный ФО,-6.5
Саранск,Приволжский ФО,1.3
Ставрополь,Северо-Кавказский ФО,6.4
Санкт-Петербург,Северо-Западный ФО,-1.9
Ханты-Мансийск,Уральский ФО,-5.6
Астрахань,Южный ФО,4.0
Орел,Центральный  ФО,10.6
Калуга,Центральный  ФО,4.5
Майкоп,Южный ФО,12.4
Архангельск,Северо-Западный ФО,2.2
Липецк,Центральный  ФО,3.4
Орел,Центральный  ФО,-2.4
Южно-Сахалинск,Дальневосточный ФО,-2.3
Архангельск,Северо-Западный ФО,-1.5
Ижевск,Приволжский ФО,-1.1
Чебоксары,Приволжский ФО,2.5
Пермь,Приволжский ФО,-1.9
Москва,Центральный  ФО,-1.2
Санкт-Петербург,Северо-Западный ФО,3.9
Самара,Приволжский ФО,1.1
Казань,Приволжский ФО,2.8
Махачкала,Северо-Кавказский ФО,10.8
Санкт-Петербург,Северо-Западный ФО,-2.6
Вологда,Северо-Западный ФО,0.5
Абакан,Сибирский ФО,-2.5
Кемерово,Сибирский ФО,0.9
Майкоп,Южный ФО,10.9
Биробиджан,Дальневосточный ФО,-5.5
Иваново,Центральный  ФО,-4.8
Грозный,Северо-Кавказский ФО,7.0
Салехард,Северо-Западный ФО,-7.8
Тамбов,Центральный  ФО,3.0
Анадырь,Дальневосточный ФО,-18.1
Иваново,Центральный  ФО,-3.8
Ханты-Мансийск,Уральский ФО,-0.1
Смоленск,Центральный  ФО,4.8
Краснодар,Южный ФО,9.0
Чебоксары,Приволжский ФО,-2.5
Краснодар,Южный ФО,2.0
Краснодар,Южный ФО,12.5
Владивосток,Дальневосточный ФО,4.3
Петропавловск-Камчатский,Дальневосточный ФО,-4.0
Ростов,Южный ФО,-1.8
Благовещенск,Дальневосточный ФО,-1.2
Ижевск,Приволжский ФО,-2.0
Тамбов,Центральный  ФО,9.8
Тюмень,Уральский ФО,7.7
Элиста,Южный ФО,3.5
Петрозаводск,Северо-Западный ФО,5.6
Тверь,Центральный  ФО,6.7
Иваново,Центральный  ФО,4.0
Саранск,Приволжский ФО,1.4
Биробиджан,Дальневосточный ФО,2.7
Чебоксары,Приволжский ФО,9.5
Кемерово,Сибирский ФО,0.7
Улан-Удэ,Сибирский ФО,-3.0
Йошкар-Ола,Приволжский ФО,6.0
Курган,Уральский ФО,0.9
Тамбов,Центральный  ФО,2.0
Кызыл,Сибирский ФО,-17.2
Абакан,Сибирский ФО,-11.0
Нижний Новгород,Приволжский ФО,2.8
Биробиджан,Дальневосточный ФО,6.4
Махачкала,Северо-Кавказский ФО,14.4
Мурманск,Северо-Западный ФО,-6.5
Тула,Центральный  ФО,7.6
Абакан,Сибирский ФО,-1.0
Майкоп,Южный ФО,4.8
Йошкар-Ола,Приволжский ФО,-0.2
Пенза,Приволжский ФО,7.1
Орел,Центральный  ФО,3.8
Тверь,Центральный  ФО,5.0
Курган,Уральский ФО,0.0
Южно-Сахалинск,Дальневосточный ФО,-4.3
Архангельск,Северо-Западный ФО,-4.8
Мурманск,Северо-Западный ФО,-7.0
Казань,Приволжский ФО,-1.4
Тюмень,Уральский ФО,-5.6
Томск,Сибирский ФО,-5.0
Калуга,Центральный  ФО,-1.5
Казань,Приволжский ФО,4.5
Чита,Сибирский ФО,-5.1
Оренбург,Приволжский ФО,4.2
Рязань,Центральный  ФО,-0.7
Астрахань,Южный ФО,8.0
Вологда,Северо-Западный ФО,2.0
Анадырь,Дальневосточный ФО,-7.0
Мурманск,Северо-Западный ФО,-14.0
Рязань,Центральный  ФО,9.4
Нальчик,Северо-Кавказский ФО,4.5
Петрозаводск,Северо-Западный ФО,2.1
Тверь,Центральный  ФО,2.8
Казань,Приволжский ФО,0.2
Якутск,Дальневосточный ФО,-17.6
Махачкала,Северо-Кавказский ФО,3.7
Владимир,Центральный  ФО,5.3
Смоленск,Центральный  ФО,2.4
Абакан,Сибирский ФО,0.5
Барнаул,Сибирский ФО,0.8
Псков,Северо-Западный ФО,4.1
Тула,Центральный  ФО,-0.9
Саранск,Приволжский ФО,-1.1
Орел,Центральный  ФО,8.8
Смоленск,Центральный  ФО,6.1
Нижний Новгород,Приволжский ФО,1.4
Псков,Северо-Западный ФО,6.1
Великий Новгород,Северо-Западный ФО,4.6
Петропавловск-Камчатский,Дальневосточный ФО,1.0
Саранск,Приволжский ФО,6.2
Барнаул,Сибирский ФО,-1.2
Якутск,Дальневосточный ФО,-12.3
Оренбург,Приволжский ФО,3.8
Томск,Сибирский ФО,2.8
Оренбург,Приволжский ФО,-5.8
Владивосток,Дальневосточный ФО,4.6
Магадан,Дальневосточный ФО,-3.0
Москва,Центральный  ФО,3.6
Кемерово,Сибирский ФО,-7.4
Орел,Центральный  ФО,6.5
Иркутск,Сибирский ФО,-1.5
Уфа,Приволжский ФО,1.7
Биробиджан,Дальневосточный ФО,-8.2
Астрахань,Южный ФО,10.0
Омск,Сибирский ФО,-4.2
Астрахань,Южный ФО,9.0
Пенза,Приволжский ФО,6.6
Екатеринбург,Уральский ФО,2.1
Воронеж,Центральный  ФО,8.3
Махачкала,Северо-Кавказский ФО,5.0
Биробиджан,Дальневосточный ФО,1.9
Нижний Новгород,Приволжский ФО,3.9
Рязань,Центральный  ФО,-2.2
Вологда,Северо-Западный ФО,-2.2
Владимир,Центральный  ФО,2.9
Благовещенск,Дальневосточный ФО,-10.7
Брянск,Центральный  ФО,10.5
Махачкала,Северо-Кавказский ФО,9.3
Курск,Центральный  ФО,-0.8
Ханты-Мансийск,Уральский ФО,-3.1
Томск,Сибирский ФО,-3.3
Курган,Уральский ФО,-3.2
Тула,Центральный  ФО,6.8
Кемерово,Сибирский ФО,-9.2
Салехард,Северо-Западный ФО,-10.9
Калуга,Центральный  ФО,7.5
Владивосток,Дальневосточный ФО,-3.9
Улан-Удэ,Сибирский ФО,-9.4
Чебоксары,Приволжский ФО,4.5
Великий Новгород,Северо-Западный ФО,-1.2
Майкоп,Южный ФО,5.6
Магадан,Дальневосточный ФО,-12.3
Калуга,Центральный  ФО,-3.5
Воронеж,Центральный  ФО,4.9
Ростов,Южный ФО,-2.1
Чебоксары,Приволжский ФО,4.5
Санкт-Петербург,Северо-Западный ФО,1.2
Тюмень,Уральский ФО,1.3
Нальчик,Северо-Кавказский ФО,8.5
Элиста,Южный ФО,9.0
Йошкар-Ола,Приволжский ФО,-2.5
Кострома,Центральный  ФО,-3.0
Самара,Приволжский ФО,0.4
Новосибирск,Сибирский ФО,3.0
Пенза,Приволжский ФО,0.1
Магадан,Дальневосточный ФО,-19.0
Курган,Уральский ФО,-1.2
Кемерово,Сибирский ФО,-4.4
Тула,Центральный  ФО,4.2
Липецк,Центральный  ФО,-1.0
Тюмень,Уральский ФО,0.7
Орел,Центральный  ФО,8.2
Петропавловск-Камчатский,Дальневосточный ФО,-1.0
Мурманск,Северо-Западный ФО,-6.0
Анадырь,Дальневосточный ФО,-19.6
Южно-Сахалинск,Дальневосточный ФО,-7.5
Ростов,Южный ФО,8.5
Йошкар-Ола,Приволжский ФО,3.7
Саранск,Приволжский ФО,4.8
Орел,Центральный  ФО,4.5
Барнаул,Сибирский ФО,-6.0
Нижний Новгород,Приволжский ФО,2.0
Владимир,Центральный  ФО,-4.6
Магадан,Дальневосточный ФО,-7.0
Тверь,Центральный  ФО,5.0
Чита,Сибирский ФО,-10.0
Самара,Приволжский ФО,4.5
Томск,Сибирский ФО,-16.6
Москва,Центральный  ФО,5.0
Чебоксары,Приволжский ФО,3.0
Екатеринбург,Уральский ФО,-1.5
Анадырь,Дальневосточный ФО,-18.0
Орел,Центральный  ФО,-1.1
Волгоград,Южный ФО,8.1
Владивосток,Дальневосточный ФО,1.6
Воронеж,Центральный  ФО,3.7
Чебоксары,Приволжский ФО,1.5
Ханты-Мансийск,Уральский ФО,-1.0
Астрахань,Южный ФО,12.5
Кострома,Центральный  ФО,3.8
Иркутск,Сибирский ФО,0.0
Курган,Уральский ФО,2.4
Псков,Северо-Западный ФО,-0.7
Калуга,Центральный  ФО,4.0
Казань,Приволжский ФО,5.2
Чита,Сибирский ФО,-0.2
Калининград,Северо-Западный ФО,0.5
Йошкар-Ола,Приволжский ФО,7.2
Хабаровск,Дальневосточный ФО,4.6
Архангельск,Северо-Западный ФО,1.4
Псков,Северо-Западный ФО,2.9
Чебоксары,Приволжский ФО,1.5
Владимир,Центральный  ФО,5.4
Иркутск,Сибирский ФО,-8.8
Казань,Приволжский ФО,4.5
Великий Новгород,Северо-Западный ФО,2.9
Пенза,Приволжский ФО,8.9
Тверь,Центральный  ФО,5.2
Тверь,Центральный  ФО,-1.3
Курск,Центральный  ФО,8.5
Челябинск,Уральский ФО,2.5
Барнаул,Сибирский ФО,-11.3
Пенза,Приволжский ФО,6.2
Пенза,Приволжский ФО,1.5
Улан-Удэ,Сибирский ФО,-7.2
Пермь,Приволжский ФО,3.8
Тула,Центральный  ФО,1.7
Сыктывкар,Северо-Западный ФО,-1.0
Киров,Приволжский ФО,8.2
Воронеж,Центральный  ФО,7.0
Кемерово,Сибирский ФО,-5.6
Иваново,Центральный  ФО,10.2
Архангельск,Северо-Западный ФО,-1.0
Нижний Новгород,Приволжский ФО,7.7
Майкоп,Южный ФО,18.8
Киров,Приволжский ФО,1.5
Тверь,Центральный  ФО,6.4
Петрозаводск,Северо-Западный ФО,0.4
Кострома,Центральный  ФО,2.5
Магадан,Дальневосточный ФО,-17.5
Курган,Уральский ФО,1.8
Екатеринбург,Уральский ФО,-4.5
Липецк,Центральный  ФО,3.4
Тула,Центральный  ФО,5.3
Кызыл,Сибирский ФО,-16.7
Майкоп,Южный ФО,2.1
Южно-Сахалинск,Дальневосточный ФО,-11.0
Кострома,Центральный  ФО,3.4
Краснодар,Южный ФО,12.0
Тула,Центральный  ФО,4.3
Вологда,Северо-Западный ФО,1.6
Орел,Центральный  ФО,4.3
Уфа,Приволжский ФО,2.2
Волгоград,Южный ФО,5.2
Махачкала,Северо-Кавказский ФО,8.8
Кемерово,Сибирский ФО,-1.9
Киров,Приволжский ФО,-3.3
Иваново,Центральный  ФО,2.5
Владимир,Центральный  ФО,4.1
Архангельск,Северо-Западный ФО,-4.2
Кызыл,Сибирский ФО,-10.8
Тюмень,Уральский ФО,-0.5
Брянск,Центральный  ФО,8.5
Кострома,Центральный  ФО,-4.9
Южно-Сахалинск,Дальневосточный ФО,-8.9
Мурманск,Северо-Западный ФО,-21.1
Новосибирск,Сибирский ФО,-9.0
Краснодар,Южный ФО,12.0
Чебоксары,Приволжский ФО,3.0
Самара,Приволжский ФО,5.2
Йошкар-Ола,Приволжский ФО,1.8
Новосибирск,Сибирский ФО,-3.0
Биробиджан,Дальневосточный ФО,-2.0
Абакан,Сибирский ФО,2.0
Петропавловск-Камчатский,Дальневосточный ФО,-1.5
Мурманск,Северо-Западный ФО,-4.0
Вологда,Северо-Западный ФО,-5.2
Великий Новгород,Северо-Западный ФО,-1.8
Вологда,Северо-Западный ФО,2.7
Элиста,Южный ФО,4.5
Орел,Центральный  ФО,8.2
Мурманск,Северо-Западный ФО,-8.9
Новосибирск,Сибирский ФО,-1.0
Астрахань,Южный ФО,4.5
Тюмень,Уральский ФО,0.3
Брянск,Центральный  ФО,-4.0
Ижевск,Приволжский ФО,3.9
Пенза,Приволжский ФО,2.4
Брянск,Центральный  ФО,-2.4
Уфа,Приволжский ФО,0.9
Курск,Центральный  ФО,8.3
Пермь,Приволжский ФО,6.3
Киров,Приволжский ФО,-6.2
Томск,Сибирский ФО,-11.0
Улан-Удэ,Сибирский ФО,-12.4
Курган,Уральский ФО,-2.9
Воронеж,Центральный  ФО,11.4
Петропавловск-Камчатский,Дальневосточный ФО,3.5
Улан-Удэ,Сибирский ФО,-16.0
Самара,Приволжский ФО,-1.6
Москва,Центральный  ФО,5.2
Ижевск,Приволжский ФО,-1.5
Рязань,Центральный  ФО,-0.9
Анадырь,Дальневосточный ФО,-4.5
Хабаровск,Дальневосточный ФО,-6.2
Якутск,Дальневосточный ФО,-22.1
Ростов,Южный ФО,3.0
Хабаровск,Дальневосточный ФО,3.1
Казань,Приволжский ФО,7.5
Курган,Уральский ФО,6.5
Екатеринбург,Уральский ФО,-4.0
Барнаул,Сибирский ФО,-1.3
Ростов,Южный ФО,8.1
Петропавловск-Камчатский,Дальневосточный ФО,2.0
Омск,Сибирский ФО,1.5
Ижевск,Приволжский ФО,-5.0
Великий Новгород,Северо-Западный ФО,3.3
Элиста,Южный ФО,6.5
Хабаровск,Дальневосточный ФО,-4.4
Владимир,Центральный  ФО,4.1
Москва,Центральный  ФО,6.2
Тюмень,Уральский ФО,5.0
Тюмень,Уральский ФО,-2.3
Тюмень,Уральский ФО,2.5
Благовещенск,Дальневосточный ФО,-4.4
Хабаровск,Дальневосточный ФО,-3.0
Киров,Приволжский ФО,1.6
Псков,Северо-Западный ФО,-0.9
Казань,Приволжский ФО,4.8
Ставрополь,Северо-Кавказский ФО,8.9
Улан-Удэ,Сибирский ФО,1.4
Казань,Приволжский ФО,-4.0
Курск,Центральный  ФО,7.7
Тверь,Центральный  ФО,7.0
Ижевск,Приволжский ФО,2.2
Пермь,Приволжский ФО,-3.8
Магадан,Дальневосточный ФО,-17.5
Махачкала,Северо-Кавказский ФО,8.8
Ханты-Мансийск,Уральский ФО,4.5
Кызыл,Сибирский ФО,-2.2
Астрахань,Южный ФО,5.0
Новосибирск,Сибирский ФО,-1.0
Архангельск,Северо-Западный ФО,0.5
Липецк,Центральный  ФО,2.9
Мурманск,Северо-Западный ФО,-9.0
Салехард,Северо-Западный ФО,-1.1
Екатеринбург,Уральский ФО,7.9
Салехард,Северо-Западный ФО,-22.2
Казань,Приволжский ФО,1.5
Салехард,Северо-Западный ФО,-6.5
Кызыл,Сибирский ФО,-4.0
Нижний Новгород,Приволжский ФО,-3.7
Смоленск,Центральный  ФО,1.3
Биробиджан,Дальневосточный ФО,-7.1
Абакан,Сибирский ФО,-7.5
Рязань,Центральный  ФО,5.0
Екатеринбург,Уральский ФО,0.9
Киров,Приволжский ФО,-0.7
Тула,Центральный  ФО,-3.7
Пенза,Приволжский ФО,-2.5
Петропавловск-Камчатский,Дальневосточный ФО,0.5
Иркутск,Сибирский ФО,-9.4
Сыктывкар,Северо-Западный ФО,-1.5
Благовещенск,Дальневосточный ФО,6.6
Брянск,Центральный  ФО,10.1
Майкоп,Южный ФО,7.8
Чита,Сибирский ФО,-7.5
Тверь,Центральный  ФО,3.1
Южно-Сахалинск,Дальневосточный ФО,0.0
Нальчик,Северо-Кавказский ФО,2.0
Кострома,Центральный  ФО,4.5
Вологда,Северо-Западный ФО,-4.2
Курган,Уральский ФО,0.8
Курган,Уральский ФО,1.2
Барнаул,Сибирский ФО,2.9
Тула,Центральный  ФО,8.8
Ставрополь,Северо-Кавказский ФО,8.0
Екатеринбург,Уральский ФО,-5.1
Ставрополь,Северо-Кавказский ФО,1.5
Великий Новгород,Северо-Западный ФО,-1.3
Краснодар,Южный ФО,1.0
Новосибирск,Сибирский ФО,-2.0
Тула,Центральный  ФО,7.2
Ростов,Южный ФО,-3.5
Петропавловск-Камчатский,Дальневосточный ФО,-4.0
Кемерово,Сибирский ФО,-12.4
Салехард,Северо-Западный ФО,-14.9
Владимир,Центральный  ФО,2.0
Самара,Приволжский ФО,-0.4
Барнаул,Сибирский ФО,-4.5
Улан-Удэ,Сибирский ФО,1.0
Чебоксары,Приволжский ФО,1.0
Махачкала,Северо-Кавказский ФО,5.7
Волгоград,Южный ФО,2.2
Биробиджан,Дальневосточный ФО,-0.1
Тамбов,Центральный  ФО,-2.4
Курск,Центральный  ФО,2.4
Липецк,Центральный  ФО,8.0
Грозный,Северо-Кавказский ФО,10.1
Тюмень,Уральский ФО,-4.2
Абакан,Сибирский ФО,-1.5
Йошкар-Ола,Приволжский ФО,-4.1
Иваново,Центральный  ФО,7.5
Кострома,Центральный  ФО,2.9
Рязань,Центральный  ФО,5.8
Воронеж,Центральный  ФО,6.2
Элиста,Южный ФО,7.0
Пенза,Приволжский ФО,2.3
Архангельск,Северо-Западный ФО,-7.0
Ижевск,Приволжский ФО,-6.2
Петропавловск-Камчатский,Дальневосточный ФО,0.5
Анадырь,Дальневосточный ФО,-26.0
Псков,Северо-Западный ФО,6.6
Иваново,Центральный  ФО,0.3
Владимир,Центральный  ФО,1.5
Оренбург,Приволжский ФО,-3.5
Санкт-Петербург,Северо-Западный ФО,-0.2
Чебоксары,Приволжский ФО,0.0
Оренбург,Приволжский ФО,-9.1
Барнаул,Сибирский ФО,-10.1
Новосибирск,Сибирский ФО,-2.0
Великий Новгород,Северо-Западный ФО,-1.6
Вологда,Северо-Западный ФО,-5.1
Петрозаводск,Северо-Западный ФО,1.5
Иркутск,Сибирский ФО,-5.3
Кострома,Центральный  ФО,1.7
Пенза,Приволжский ФО,5.9
Ижевск,Приволжский ФО,-1.8
Саранск,Приволжский ФО,7.2
Тверь,Центральный  ФО,-1.4
Брянск,Центральный  ФО,1.4
Уфа,Приволжский ФО,-3.9
Оренбург,Приволжский ФО,8.0
Владивосток,Дальневосточный ФО,-4.0
Курск,Центральный  ФО,4.0
Челябинск,Уральский ФО,-4.6
Курган,Уральский ФО,-8.2
Великий Новгород,Северо-Западный ФО,-1.8
Ханты-Мансийск,Уральский ФО,0.8
Улан-Удэ,Сибирский ФО,-0.1
Чебоксары,Приволжский ФО,-0.5
Самара,Приволжский ФО,6.8
Элиста,Южный ФО,8.3
Иркутск,Сибирский ФО,1.7
Тюмень,Уральский ФО,-2.3
Абакан,Сибирский ФО,7.0
Чита,Сибирский ФО,-6.8
Уфа,Приволжский ФО,-0.1
Ростов,Южный ФО,4.3
Биробиджан,Дальневосточный ФО,-7.6
Анадырь,Дальневосточный ФО,-5.7
Барнаул,Сибирский ФО,-1.0
Брянск,Центральный  ФО,6.5
Пермь,Приволжский ФО,4.5
Сыктывкар,Северо-Западный ФО,1.8
Чебоксары,Приволжский ФО,6.5
Нальчик,Северо-Кавказский ФО,4.5
Санкт-Петербург,Северо-Западный ФО,2.5
Улан-Удэ,Сибирский ФО,-1.0
Иваново,Центральный  ФО,3.9
Барнаул,Сибирский ФО,-16.0
Махачкала,Северо-Кавказский ФО,8.2
Абакан,Сибирский ФО,0.0
Калининград,Северо-Западный ФО,6.8
Кострома,Центральный  ФО,0.8
Омск,Сибирский ФО,-1.9
Чита,Сибирский ФО,-11.1
Хабаровск,Дальневосточный ФО,-1.5
Калининград,Северо-Западный ФО,0.2
Кострома,Центральный  ФО,-3.9
Салехард,Северо-Западный ФО,-7.6
Кызыл,Сибирский ФО,0.1
Магадан,Дальневосточный ФО,-16.5
Москва,Центральный  ФО,0.9
Москва,Центральный  ФО,-1.3
Екатеринбург,Уральский ФО,5.0
Ставрополь,Северо-Кавказский ФО,-1.1
Курган,Уральский ФО,3.0
Рязань,Центральный  ФО,7.4
Тула,Центральный  ФО,-0.5
Ханты-Мансийск,Уральский ФО,-5.6
Курган,Уральский ФО,-1.8
Владикавказ,Северо-Кавказский ФО,3.9
Барнаул,Сибирский ФО,-2.7
Оренбург,Приволжский ФО,2.9
Смоленск,Центральный  ФО,5.8
Великий Новгород,Северо-Западный ФО,-2.9
Иркутск,Сибирский ФО,1.0
Махачкала,Северо-Кавказский ФО,6.9
Ханты-Мансийск,Уральский ФО,0.1
Орел,Центральный  ФО,-3.1
Хабаровск,Дальневосточный ФО,-6.0
Москва,Центральный  ФО,6.2
Рязань,Центральный  ФО,1.9
Тверь,Центральный  ФО,-2.0
Смоленск,Центральный  ФО,5.5
Ставрополь,Северо-Кавказский ФО,3.8
Владимир,Центральный  ФО,-4.0
Пенза,Приволжский ФО,-4.2
Владимир,Центральный  ФО,-5.2
Тамбов,Центральный  ФО,6.7
Волгоград,Южный ФО,6.5
Иркутск,Сибирский ФО,-6.8
Иваново,Центральный  ФО,2.3
Ставрополь,Северо-Кавказский ФО,1.8
Архангельск,Северо-Западный ФО,-10.2
Петрозаводск,Северо-Западный ФО,-1.6
Чита,Сибирский ФО,0.6
Мурманск,Северо-Западный ФО,-3.5
Томск,Сибирский ФО,-7.8
Якутск,Дальневосточный ФО,-7.0
Киров,Приволжский ФО,3.3
Архангельск,Северо-Западный ФО,-1.3
Махачкала,Северо-Кавказский ФО,11.3
Магадан,Дальневосточный ФО,-4.5
Новосибирск,Сибирский ФО,-2.0
Краснодар,Южный ФО,0.5
Тюмень,Уральский ФО,3.8
Самара,Приволжский ФО,5.3
Калуга,Центральный  ФО,-1.5
Ставрополь,Северо-Кавказский ФО,11.7
Волгоград,Южный ФО,2.2
Саранск,Приволжский ФО,0.1
Пермь,Приволжский ФО,1.3
Киров,Приволжский ФО,-5.0
Вологда,Северо-Западный ФО,1.9
Тюмень,Уральский ФО,2.2
Омск,Сибирский ФО,-0.2
Волгоград,Южный ФО,9.6
Владивосток,Дальневосточный ФО,2.2
Барнаул,Сибирский ФО,-5.4
Смоленск,Центральный  ФО,3.7
Екатеринбург,Уральский ФО,-9.6
Элиста,Южный ФО,9.5
Уфа,Приволжский ФО,-3.4
Калининград,Северо-Западный ФО,3.7
Санкт-Петербург,Северо-Западный ФО,-1.4
Абакан,Сибирский ФО,-7.0
Тюмень,Уральский ФО,3.4
Кострома,Центральный  ФО,0.4
Магадан,Дальневосточный ФО,-22.5
Архангельск,Северо-Западный ФО,-3.1
Липецк,Центральный  ФО,-2.5
Казань,Приволжский ФО,1.0
Архангельск,Северо-Западный ФО,-1.3
Москва,Центральный  ФО,4.8
Рязань,Центральный  ФО,10.4
Ставрополь,Северо-Кавказский ФО,7.9
Рязань,Центральный  ФО,1.6
Липецк,Центральный  ФО,-1.6
Якутск,Дальневосточный ФО,-25.2
Нальчик,Северо-Кавказский ФО,6.3
Анадырь,Дальневосточный ФО,-21.2
Краснодар,Южный ФО,4.5
Калининград,Северо-Западный ФО,4.8
Курган,Уральский ФО,-0.4
Барнаул,Сибирский ФО,-0.9
Чита,Сибирский ФО,-13.2
Биробиджан,Дальневосточный ФО,1.9
Владимир,Центральный  ФО,-3.5
Челябинск,Уральский ФО,5.1
Новосибирск,Сибирский ФО,-1.5
Салехард,Северо-Западный ФО,-17.9
Иркутск,Сибирский ФО,-9.7
Махачкала,Северо-Кавказский ФО,7.2
Сыктывкар,Северо-Западный ФО,1.1
Екатеринбург,Уральский ФО,-0.6
Биробиджан,Дальневосточный ФО,-3.8
Астрахань,Южный ФО,9.5
Тамбов,Центральный  ФО,0.7
Томск,Сибирский ФО,2.7
Волгоград,Южный ФО,11.2
Абакан,Сибирский ФО,1.0
Волгоград,Южный ФО,6.2
Москва,Центральный  ФО,3.2
Йошкар-Ола,Приволжский ФО,0.9
Новосибирск,Сибирский ФО,3.0
Элиста,Южный ФО,10.5
Калининград,Северо-Западный ФО,-0.4
Мурманск,Северо-Западный ФО,-3.5
Иваново,Центральный  ФО,1.7
Хабаровск,Дальневосточный ФО,-0.7
Курск,Центральный  ФО,3.6
Москва,Центральный  ФО,6.5
Курск,Центральный  ФО,4.5
Абакан,Сибирский ФО,5.0
Екатеринбург,Уральский ФО,-10.1
Элиста,Южный ФО,10.1
Волгоград,Южный ФО,3.0
Екатеринбург,Уральский ФО,1.8
Ставрополь,Северо-Кавказский ФО,8.4
Тамбов,Центральный  ФО,-0.5
Хабаровск,Дальневосточный ФО,7.0
Кызыл,Сибирский ФО,-7.9
Южно-Сахалинск,Дальневосточный ФО,1.4
Ростов,Южный ФО,2.8
Брянск,Центральный  ФО,2.5
Улан-Удэ,Сибирский ФО,4.2
Уфа,Приволжский ФО,3.6
Хабаровск,Дальневосточный ФО,0.8
Орел,Центральный  ФО,0.1
Саранск,Приволжский ФО,1.6
Южно-Сахалинск,Дальневосточный ФО,-6.0
Новосибирск,Сибирский ФО,-4.5
Салехард,Северо-Западный ФО,-2.7
Владивосток,Дальневосточный ФО,3.3
Улан-Удэ,Сибирский ФО,-10.5
Курган,Уральский ФО,2.5
Омск,Сибирский ФО,-6.7
Сыктывкар,Северо-Западный ФО,-2.1
